         20874020 function calls (19984092 primitive calls) in 221.636 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   200382    0.014    0.000    0.014    0.000 context.py:2136(context_safe)
       78    0.014    0.000    0.224    0.003 auto_control_deps.py:347(__exit__)
     6165    0.014    0.000    0.014    0.000 {method 'update' of 'dict' objects}
      619    0.014    0.000    0.014    0.000 {built-in method posix.stat}
    10346    0.014    0.000    0.014    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetStackTrace}
    94147    0.014    0.000    0.014    0.000 inspect.py:2640(__init__)
       20    0.013    0.001    0.013    0.001 {method 'set_message' of '_macosx.NavigationToolbar2' objects}
     9758    0.013    0.000    0.013    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_SetAttrValueProto}
    41346    0.013    0.000    0.022    0.000 compat.py:89(as_text)
    90514    0.013    0.000    0.042    0.000 ops.py:2585(type)
    18823    0.013    0.000    0.266    0.000 function_spec.py:477(cast_inputs)
   114591    0.012    0.000    1.340    0.000 {built-in method builtins.iter}
      593    0.012    0.000    0.064    0.000 training.py:804(metrics)
    48784    0.012    0.000    0.040    0.000 traceback_utils.py:32(is_traceback_filtering_enabled)
   150668    0.012    0.000    0.012    0.000 {method 'items' of 'mappingproxy' objects}
     6154    0.012    0.000    0.037    0.000 ops.py:5919(get_controller)
    19440    0.011    0.000    0.078    0.000 distribution_strategy_context.py:269(get_strategy_and_replica_context)
        2    0.011    0.006    0.021    0.011 telemetry.py:83(list_telemetry_imports)
        1    0.011    0.011  221.460  221.460 ABBV_StockPrediction1.py:18(main)
    23083    0.011    0.000    0.025    0.000 op_def_library.py:54(<genexpr>)
    37868    0.011    0.000    0.012    0.000 function_type.py:388(<genexpr>)
   112742    0.011    0.000    0.011    0.000 iterator_ops.py:916(_serialize)
    14987    0.011    0.000    0.011    0.000 _collections_abc.py:849(__iter__)
30652/30387    0.011    0.000    0.033    0.000 {built-in method builtins.any}
4153/1499    0.011    0.000    0.123    0.000 base_layer.py:3141(__setattr__)
    11736    0.011    0.000    0.016    0.000 context.py:958(_mode)
    19985    0.011    0.000    0.011    0.000 context.py:998(device_name)
    58105    0.010    0.000    0.010    0.000 {built-in method _codecs.lookup}
     6704    0.010    0.000    0.094    0.000 ops.py:2683(get_attr)
    19748    0.010    0.000    0.029    0.000 resource_variable_ops.py:317(_maybe_set_handle_data)
     2785    0.010    0.000    0.011    0.000 op_def_library.py:366(_CanExtractAttrsFastPath)
       15    0.010    0.001    0.010    0.001 {built-in method posix.read}
